tipo,subtipo,razon_social,descripcion,path,precio_total
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,GRIFERIAS COBRA SRL,Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018 ,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_GRIFERIAS COBRA SRL_Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018 ,4903789
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MOBILIARIOS FONTENLA S.A.,Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MOBILIARIOS FONTENLA S.A._Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018,2562615
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MOBILIARIOS FONTENLA S.A.,Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MOBILIARIOS FONTENLA S.A._Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olímpicos de la Juventud Buenos Aires 2018,72660
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ARTFUL S.A.,"Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ARTFUL S.A._Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018",1357725.6
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ROBERTO OSCAR SCHVARZ,"Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ROBERTO OSCAR SCHVARZ_Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018",13288582
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ROBERTO OSCAR SCHVARZ,"Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ROBERTO OSCAR SCHVARZ_Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018",146094
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MOURELLE BUCETA IRMA BUCETA SEBASTIAN Y BUCETA VERONICA SH,"Ropa de cama, abrigo, baño y otros","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MOURELLE BUCETA IRMA BUCETA SEBASTIAN Y BUCETA VERONICA SH_Ropa de cama, abrigo, baño y otros",13949883.85
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,T. J. SEBELE E HIJOS S.A.,"Ropa de cama, abrigo, baño y otros","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_T. J. SEBELE E HIJOS S.A._Ropa de cama, abrigo, baño y otros",7310421.39
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ARTFUL S.A.,"Ropa de cama, abrigo, baño y otros","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ARTFUL S.A._Ropa de cama, abrigo, baño y otros",1785039.1
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MOBILIARIOS FONTENLA S.A.,Muebles de apartamentos y afines,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MOBILIARIOS FONTENLA S.A._Muebles de apartamentos y afines,26947094
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,UNISER S.A.,Muebles de apartamentos y afines,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_UNISER S.A._Muebles de apartamentos y afines,737646
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MOBILIARIOS FONTENLA S.A.,"Muebles de pichonera, interiores de placards y otros para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MOBILIARIOS FONTENLA S.A._Muebles de pichonera, interiores de placards y otros para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018",12346845
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,"FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA",Adquisición de carros de traslado y recipientes,"CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA_Adquisición de carros de traslado y recipientes",3313650
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ABEA SA,Adquisición y Colocación de Cortinas Blackout,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ABEA SA_Adquisición y Colocación de Cortinas Blackout,11577943.92
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,EL PERRO EN LA LUNA SRL,"Servicio de desarrollo,mantenimiento, y administración de sitio web educativo -""One World, Many Worlds""","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_EL PERRO EN LA LUNA SRL_Servicio de desarrollo,mantenimiento, y administración de sitio web educativo -""One World, Many Worlds""",4063310.64
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LAVADERO ANCA S.A.,Servicio de Lavadero Industrial con destino a la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LAVADERO ANCA S.A._Servicio de Lavadero Industrial con destino a la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,6494827.6
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ADECCO RECURSOS HUMANOS ARGENTINA S.A.,Servicio Integral del Programa de Voluntariado para los Juegos Olímpicos de la Juventud 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ADECCO RECURSOS HUMANOS ARGENTINA S.A._Servicio Integral del Programa de Voluntariado para los Juegos Olímpicos de la Juventud 2018,20000000
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,RICAAR SRL,Servicio de Gestión de Alojamoiento,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_RICAAR SRL_Servicio de Gestión de Alojamoiento,4647069.36
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,Sociedad Expansiva S.A.,Servicio de Producción Integral para las Actividades del Programa cultural y educativo (CEP),CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_Sociedad Expansiva S.A._Servicio de Producción Integral para las Actividades del Programa cultural y educativo (CEP),15913498.86
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LOS SOLES INTERNACIONAL S.A,Servicio integral de Limpieza para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LOS SOLES INTERNACIONAL S.A_Servicio integral de Limpieza para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,49316627
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,Maria del Carmen Propato,Servicio Profesional de Interpretación,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_Maria del Carmen Propato_Servicio Profesional de Interpretación,732631
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,English Services SRL,Servicio Profesional de Traducciones,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_English Services SRL_Servicio Profesional de Traducciones,6576600
CONVOCATORIA DIRECTA,CONTRATACIÓN DIRECTA,ATOS SPAIN S.A. UNIPERSONAL,"Provisión de Sistemas de Gestión de Juegos, Diferencias de Info y Resultados y Soporte de Tecnología en Sede de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_ATOS SPAIN S.A. UNIPERSONAL_Provisión de Sistemas de Gestión de Juegos, Diferencias de Info y Resultados y Soporte de Tecnología en Sede de los Juegos Olímpicos de la Juventud Buenos Aires 2018",50611792.56
CONVOCATORIA DIRECTA,CONTRATACIÓN DIRECTA,ATOS ARGENTINA S.A.,Servicio de Integración Tecnológica para los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_ATOS ARGENTINA S.A._Servicio de Integración Tecnológica para los Juegos Olímpicos de la Juventud Buenos Aires 2018,62077346.98
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LICICOM S.R.L.,"Adquisición de Placas Calefactoras, Artículos Eléctricos, Iluminación y Pilas.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LICICOM S.R.L._Adquisición de Placas Calefactoras, Artículos Eléctricos, Iluminación y Pilas.",5903871
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,RETAIL BA SA,Adquisición de Artículos Varios para el Servicio de Atención al Residente,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_RETAIL BA SA_Adquisición de Artículos Varios para el Servicio de Atención al Residente,472228.51
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,UNISER S.A.,Adquisición de Artículos Varios para el Servicio de Atención al Residente,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_UNISER S.A._Adquisición de Artículos Varios para el Servicio de Atención al Residente,258792
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LICICOM S.R.L.,Adquisición de Artículos Varios para el Servicio de Atención al Residente,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LICICOM S.R.L._Adquisición de Artículos Varios para el Servicio de Atención al Residente,190119
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,BLKLEDS SA,Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_BLKLEDS SA_Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,16241350
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,Mariana Irene Albornoz,Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_Mariana Irene Albornoz_Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,7497249.35
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,SERVICIOS DE PRODUCCIONES ARTISTICAS SRL,Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_SERVICIOS DE PRODUCCIONES ARTISTICAS SRL_Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,14151311
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,Sociedad Expansiva S.A.,Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_Sociedad Expansiva S.A._Producción integral de actividades culturales y recreativas para los parques de los Juegos Olímpicos de la Juventud Buenos Aires 2018,7994248.78
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,"FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA","Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA_Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes",6385338
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,BENEDETTI S.A.I.C.,"Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_BENEDETTI S.A.I.C._Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes",51650
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,VILENI S.R.L.,"Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_VILENI S.R.L._Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes",598780
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,RETAIL BA SA,"Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_RETAIL BA SA_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.",1292264.86
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,GRIFERIAS COBRA SRL,"Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_GRIFERIAS COBRA SRL_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.",11705651
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,TURRI EQUIPAMIENTOS S.A.,"Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_TURRI EQUIPAMIENTOS S.A._Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.",1161248
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,VERRACO SA,"Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_VERRACO SA_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.",231280.6
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ROYAL DOOR SRL,"Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ROYAL DOOR SRL_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.",5776572
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,SIMEX INTERNACIONAL S.A.,"Servicio integral de despacho, gestión y asesoramiento aduanero para los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_SIMEX INTERNACIONAL S.A._Servicio integral de despacho, gestión y asesoramiento aduanero para los Juegos Olímpicos de la Juventud Buenos Aires 2018",11502000
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,UADEL SRL,Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_UADEL SRL_Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Buenos Aires 2018,4286172.7
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,GESTAM ARGENTINA SA,Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_GESTAM ARGENTINA SA_Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Buenos Aires 2018,3145502.62
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,GRUPO MSA S.A.,"Servicio Integral de Desarrollo, Distribución, y Organización del Sistema de Entradas de los Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_GRUPO MSA S.A._Servicio Integral de Desarrollo, Distribución, y Organización del Sistema de Entradas de los Juegos Olímpicos de la Juventud Buenos Aires 2018",12336326
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,HM CONSULTORES S.R.L.,"Elaboración de planes de emergencia, planos de evacuación e inspecciones de Higiene y Seguridad","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_HM CONSULTORES S.R.L._Elaboración de planes de emergencia, planos de evacuación e inspecciones de Higiene y Seguridad",4600800
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,DINATECH S.A.,Servicio Integral de Soporte Técnico para Microinformática,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_DINATECH S.A._Servicio Integral de Soporte Técnico para Microinformática,15900000
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,PUBLICIDAD SARMIENTO SA,"Servicio integral de producción, instalación y mantenimiento de señaletica","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_PUBLICIDAD SARMIENTO SA_Servicio integral de producción, instalación y mantenimiento de señaletica",13185896.56
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,UNISER S.A.,"Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_UNISER S.A._Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles",835615
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LAURENCE JAVIER DRUSCOVICH,"Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LAURENCE JAVIER DRUSCOVICH_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles",319398
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,RETAIL BA SA,"Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_RETAIL BA SA_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles",1197095.76
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,BENEDETTI S.A.I.C.,"Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_BENEDETTI S.A.I.C._Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles",102296
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ROYAL DOOR SRL,"Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ROYAL DOOR SRL_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles",1641410
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LA RURAL SA,"Alquiler de espacio, instalación de estructuras temporales y servicios varios para el IBC - Juegos Olímpicos de la Juventud Buenos Aires 2018","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LA RURAL SA_Alquiler de espacio, instalación de estructuras temporales y servicios varios para el IBC - Juegos Olímpicos de la Juventud Buenos Aires 2018",29342500
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,TRANS INDUSTRIAS ELECTRONICAS S.A. - SYSTEMNET S.A. - JJOO UNION TRANSITORIA,Servicios de Conectividad de Datos en sedes Deportivas y de Operaciones,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_TRANS INDUSTRIAS ELECTRONICAS S.A. - SYSTEMNET S.A. - JJOO UNION TRANSITORIA_Servicios de Conectividad de Datos en sedes Deportivas y de Operaciones,121794997
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MELEX ARGENTINA SOCIEDAD RESPONSABILIDAD LIMITADA,Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MELEX ARGENTINA SOCIEDAD RESPONSABILIDAD LIMITADA_Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica Juegos Olímpicos de la Juventud Buenos Aires 2018,1341390
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,U.S. ELECTRICAR S.R.L.,Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_U.S. ELECTRICAR S.R.L._Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica Juegos Olímpicos de la Juventud Buenos Aires 2018,313010
