tipo	subtipo	razon_social	descripcion	path	precio_total
CONVOCATORIA ABIERTA	LICITACION PUBLICA	EMEVEVE S.A.	Servicio Integral de Limpieza - Instalaciones UPEJOL	CONVOCATORIA ABIERTA_LICITACION PUBLICA_EMEVEVE S.A._Servicio Integral de Limpieza - Instalaciones UPEJOL	3767703.16
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LICICOM S.R.L.	Artículos varios para el servicio al residente de la Villa Olímpica	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LICICOM S.R.L._Artículos varios para el servicio al residente de la Villa Olímpica	25044.86
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UNISER S.A.	Artículos varios para el servicio al residente de la Villa Olímpica	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UNISER S.A._Artículos varios para el servicio al residente de la Villa Olímpica	1053288
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MARIANA IRENE ALBORNOZ	Servicio de Producción de Mapeo en el marco del evento "One Year to Go"	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MARIANA IRENE ALBORNOZ_Servicio de Producción de Mapeo en el marco del evento "One Year to Go"	1098680
CONVOCATORIA ABIERTA	LICITACION PUBLICA	BENEDETTI S.A.I.C.	Adquisición de Placas Calefactoras y Frigobares UPEJOL	CONVOCATORIA ABIERTA_LICITACION PUBLICA_BENEDETTI S.A.I.C._Adquisición de Placas Calefactoras y Frigobares UPEJOL	923832
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ARQSF S.A.	Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ARQSF S.A._Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.	33838.8
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ARQSF S.A.	Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ARQSF S.A._Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.	563980
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ANTIPLAGA NORTE SRL	Servicio de control de plagas para la Villa Olímpica de los Juegos Olímpicos de la Juventud Bs As 2018	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ANTIPLAGA NORTE SRL_Servicio de control de plagas para la Villa Olímpica de los Juegos Olímpicos de la Juventud Bs As 2018	595000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	GRIFERIAS COBRA SRL	Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_GRIFERIAS COBRA SRL_Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	4903789
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MOBILIARIOS FONTENLA S.A.	Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MOBILIARIOS FONTENLA S.A._Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	2562615
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MOBILIARIOS FONTENLA S.A.	Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MOBILIARIOS FONTENLA S.A._Muebles de áreas públicas y afines para Villa Olímpica destinada a los Juegos Olimp. Bs As 2018	72660
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ARTFUL S.A.	Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ARTFUL S.A._Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	1357725.6
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ROBERTO OSCAR SCHVARZ	Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ROBERTO OSCAR SCHVARZ_Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	13288582
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ROBERTO OSCAR SCHVARZ	Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ROBERTO OSCAR SCHVARZ_Adquisición de Almohadas, colchones y otros, para la Villa Olímpica de la Juventud Buenos Aires 2018	146094
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MOURELLE BUCETA IRMA BUCETA SEBASTIAN Y BUCETA VERONICA SH	Ropa de cama, abrigo, baño y otros	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MOURELLE BUCETA IRMA BUCETA SEBASTIAN Y BUCETA VERONICA SH_Ropa de cama, abrigo, baño y otros	13949883.85
CONVOCATORIA ABIERTA	LICITACION PUBLICA	T. J. SEBELE E HIJOS S.A.	Ropa de cama, abrigo, baño y otros	CONVOCATORIA ABIERTA_LICITACION PUBLICA_T. J. SEBELE E HIJOS S.A._Ropa de cama, abrigo, baño y otros	7310421.39
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ARTFUL S.A.	Ropa de cama, abrigo, baño y otros	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ARTFUL S.A._Ropa de cama, abrigo, baño y otros	1785039.1
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MOBILIARIOS FONTENLA S.A.	Muebles de apartamentos y afines	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MOBILIARIOS FONTENLA S.A._Muebles de apartamentos y afines	26947094
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UNISER S.A.	Muebles de apartamentos y afines	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UNISER S.A._Muebles de apartamentos y afines	737646
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MOBILIARIOS FONTENLA S.A.	Muebles de pichonera, interiores de placards y otros para la Villa Olímpica de la juventud BsAs 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MOBILIARIOS FONTENLA S.A._Muebles de pichonera, interiores de placards y otros para la Villa Olímpica de la juventud BsAs 2018	12346845
CONVOCATORIA ABIERTA	LICITACION PUBLICA	FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA	Adquisición de carros de traslado y recipientes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA_Adquisición de carros de traslado y recipientes	3313650
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ABEA SA	Adquisición y Colocación de Cortinas Blackout	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ABEA SA_Adquisición y Colocación de Cortinas Blackout	11577943.92
CONVOCATORIA ABIERTA	LICITACION PUBLICA	EL PERRO EN LA LUNA SRL	Servi. de desarrollo,mantenimiento, y administración de sitio web educativo -"One World, Many Worlds	CONVOCATORIA ABIERTA_LICITACION PUBLICA_EL PERRO EN LA LUNA SRL_Servi. de desarrollo,mantenimiento, y administración de sitio web educativo -"One World, Many Worlds	4063310.64
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LAVADERO ANCA S.A.	Servicio de Lavadero Industrial con destino a la Villa Olímpica de la Juventud	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LAVADERO ANCA S.A._Servicio de Lavadero Industrial con destino a la Villa Olímpica de la Juventud	6494827.6
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ADECCO RECURSOS HUMANOS ARGENTINA S.A.	Servicio Integral del Programa de Voluntariado para los Juegos Olímpicos de la Juventud 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ADECCO RECURSOS HUMANOS ARGENTINA S.A._Servicio Integral del Programa de Voluntariado para los Juegos Olímpicos de la Juventud 2018	20000000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RICAAR SRL	Servicio de Gestión de Alojamoiento	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RICAAR SRL_Servicio de Gestión de Alojamoiento	4647069.36
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Sociedad Expansiva S.A.	Servicio de Producción Integral para las Actividades del Programa cultural y educativo (CEP)	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Sociedad Expansiva S.A._Servicio de Producción Integral para las Actividades del Programa cultural y educativo (CEP)	15913498.86
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LOS SOLES INTERNACIONAL S.A	Servicio integral de Limpieza para la Villa Olímpica de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LOS SOLES INTERNACIONAL S.A_Servicio integral de Limpieza para la Villa Olímpica de la Juventud Buenos Aires 2018	49316627
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	Maria del Carmen Propato	Servicio Profesional de Interpretación	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_Maria del Carmen Propato_Servicio Profesional de Interpretación	732631
CONVOCATORIA ABIERTA	LICITACION PUBLICA	English Services SRL	Servicio Profesional de Traducciones	CONVOCATORIA ABIERTA_LICITACION PUBLICA_English Services SRL_Servicio Profesional de Traducciones	6576600
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	ATOS SPAIN S.A. UNIPERSONAL	Prov. de Sist. de Gestión de Juegos, Dif. de Info y Resultados y Soporte de Tecno en Sede JOJ 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_ATOS SPAIN S.A. UNIPERSONAL_Prov. de Sist. de Gestión de Juegos, Dif. de Info y Resultados y Soporte de Tecno en Sede JOJ 2018	50611792.56
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	ATOS ARGENTINA S.A.	Servicio de Integración Tecnológica para Los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_ATOS ARGENTINA S.A._Servicio de Integración Tecnológica para Los Juegos Olímpicos de la Juventud Buenos Aires 2018	62077346.98
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LICICOM S.R.L.	Adquisición de Placas Calefactoras, Artículos Eléctricos, Iluminación y Pilas.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LICICOM S.R.L._Adquisición de Placas Calefactoras, Artículos Eléctricos, Iluminación y Pilas.	5903871
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RETAIL BA SA	Adquisición de Artículos Varios para el Servicio de Atención al Residente	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RETAIL BA SA_Adquisición de Artículos Varios para el Servicio de Atención al Residente	472228.51
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UNISER S.A.	Adquisición de Artículos Varios para el Servicio de Atención al Residente	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UNISER S.A._Adquisición de Artículos Varios para el Servicio de Atención al Residente	258792
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LICICOM S.R.L.	Adquisición de Artículos Varios para el Servicio de Atención al Residente	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LICICOM S.R.L._Adquisición de Artículos Varios para el Servicio de Atención al Residente	190119
CONVOCATORIA ABIERTA	LICITACION PUBLICA	BLKLEDS SA	PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_BLKLEDS SA_PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	16241350
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Mariana Irene Albornoz	PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Mariana Irene Albornoz_PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	7497249.35
CONVOCATORIA ABIERTA	LICITACION PUBLICA	SERVICIOS DE PRODUCCIONES ARTISTICAS SRL	PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_SERVICIOS DE PRODUCCIONES ARTISTICAS SRL_PRODUCCION INTEGRAL DE ACTIVIDADES CULTURALES Y RECREATIVAS PARA LOS PARQUES DE LOS JOJ 2018	14151311
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Sociedad Expansiva S.A.	Producción Integral de actividades culturales y recreativas para los parques de los JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Sociedad Expansiva S.A._Producción Integral de actividades culturales y recreativas para los parques de los JOJ 2018	7994248.78
CONVOCATORIA ABIERTA	LICITACION PUBLICA	FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA	Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_FERNANDO PITTNER, LA CASA DE LOS MIL ENVASES SA_Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	6385338
CONVOCATORIA ABIERTA	LICITACION PUBLICA	BENEDETTI S.A.I.C.	Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_BENEDETTI S.A.I.C._Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	51650
CONVOCATORIA ABIERTA	LICITACION PUBLICA	VILENI S.R.L.	Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_VILENI S.R.L._Adquisición artículos de seguridad vial, laboral, carros de traslado y recipientes	598780
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RETAIL BA SA	Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RETAIL BA SA_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	1292264.86
CONVOCATORIA ABIERTA	LICITACION PUBLICA	GRIFERIAS COBRA SRL	Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_GRIFERIAS COBRA SRL_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	11705651
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TURRI EQUIPAMIENTOS S.A.	Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TURRI EQUIPAMIENTOS S.A._Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	1161248
CONVOCATORIA ABIERTA	LICITACION PUBLICA	VERRACO SA	Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_VERRACO SA_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	231280.6
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ROYAL DOOR SRL	Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ROYAL DOOR SRL_Adquisición de Muebles de Oficina, Vestuarios, áreas publicas y afines.	5776572
CONVOCATORIA ABIERTA	LICITACION PUBLICA	SIMEX INTERNACIONAL S.A.	Servicio integral de despacho, gestión y asesoramiento aduanero para los JJOO Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_SIMEX INTERNACIONAL S.A._Servicio integral de despacho, gestión y asesoramiento aduanero para los JJOO Buenos Aires 2018	11502000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UADEL SRL	Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UADEL SRL_Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Bs As 2018	4286172.7
CONVOCATORIA ABIERTA	LICITACION PUBLICA	GESTAM ARGENTINA SA	Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_GESTAM ARGENTINA SA_Servicio Integral de Limpieza para Sedes de los Juegos Olímpicos de la Juventud Bs As 2018	3145502.62
CONVOCATORIA ABIERTA	LICITACION PUBLICA	GRUPO MSA S.A.	Serv. Integral de Desarrollo, Distribución, y Organización del Sist. de Entradas JJOO BS AS 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_GRUPO MSA S.A._Serv. Integral de Desarrollo, Distribución, y Organización del Sist. de Entradas JJOO BS AS 2018	12336326
CONVOCATORIA ABIERTA	LICITACION PUBLICA	HM CONSULTORES S.R.L.	Elaboración de planes de emergencia, planos de evacuación e inspecciones de Higiene y Seguridad.	CONVOCATORIA ABIERTA_LICITACION PUBLICA_HM CONSULTORES S.R.L._Elaboración de planes de emergencia, planos de evacuación e inspecciones de Higiene y Seguridad.	4600800
CONVOCATORIA ABIERTA	LICITACION PUBLICA	DINATECH S.A.	Servicio Integral de Soporte Técnico para Microinformática	CONVOCATORIA ABIERTA_LICITACION PUBLICA_DINATECH S.A._Servicio Integral de Soporte Técnico para Microinformática	15900000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	PUBLICIDAD SARMIENTO SA	Servicio integral de producción, instalación y mantenimiento de señaletica	CONVOCATORIA ABIERTA_LICITACION PUBLICA_PUBLICIDAD SARMIENTO SA_Servicio integral de producción, instalación y mantenimiento de señaletica	13185896.56
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UNISER S.A.	Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UNISER S.A._Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	835615
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LAURENCE JAVIER DRUSCOVICH	Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LAURENCE JAVIER DRUSCOVICH_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	319398
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RETAIL BA SA	Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RETAIL BA SA_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	1197095.76
CONVOCATORIA ABIERTA	LICITACION PUBLICA	BENEDETTI S.A.I.C.	Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	CONVOCATORIA ABIERTA_LICITACION PUBLICA_BENEDETTI S.A.I.C._Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	102296
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ROYAL DOOR SRL	Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ROYAL DOOR SRL_Adquisición de artículos varios para el residente, artículos de seguridad vial, laboral y muebles	1641410
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LA RURAL SA	Alquiler de espacio, instalación de estructuras temp. y serv. varios para el IBC - JJOO Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LA RURAL SA_Alquiler de espacio, instalación de estructuras temp. y serv. varios para el IBC - JJOO Bs As 2018	29342500
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TRANS INDUSTRIAS ELECTRONICAS S.A. - SYSTEMNET S.A. - JJOO UNION TRANSITORIA	Servicios de Conectividad de Datos en sedes Deportivas y de Operaciones	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TRANS INDUSTRIAS ELECTRONICAS S.A. - SYSTEMNET S.A. - JJOO UNION TRANSITORIA_Servicios de Conectividad de Datos en sedes Deportivas y de Operaciones	121794997
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MELEX ARGENTINA SOCIEDAD RESPONSABILIDAD LIMITADA	Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MELEX ARGENTINA SOCIEDAD RESPONSABILIDAD LIMITADA_Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica JOJ 2018	1341390
CONVOCATORIA ABIERTA	LICITACION PUBLICA	U.S. ELECTRICAR S.R.L.	Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_U.S. ELECTRICAR S.R.L._Servicio de alquiler y mantenimiento de carros eléctricos para sedes y Villa Olímpica JOJ 2018	313010
CONVOCATORIA ABIERTA	LICITACION PUBLICA	CARLOS A. GIROLA Y ASOCIADOS S.R.L.	Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	CONVOCATORIA ABIERTA_LICITACION PUBLICA_CARLOS A. GIROLA Y ASOCIADOS S.R.L._Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	29403267.86
CONVOCATORIA ABIERTA	LICITACION PUBLICA	OMNIGRAPHICS COMMERCIAL ARGENTINA S.A.	Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	CONVOCATORIA ABIERTA_LICITACION PUBLICA_OMNIGRAPHICS COMMERCIAL ARGENTINA S.A._Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	4660578.66
CONVOCATORIA ABIERTA	LICITACION PUBLICA	POLYGRAPH S.A.	Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	CONVOCATORIA ABIERTA_LICITACION PUBLICA_POLYGRAPH S.A._Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	10609310
CONVOCATORIA ABIERTA	LICITACION PUBLICA	PUBLICIDAD SARMIENTO SA	Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	CONVOCATORIA ABIERTA_LICITACION PUBLICA_PUBLICIDAD SARMIENTO SA_Servicio integral de producción, instalación y remoción de elementos de "Look of the games"	29458190.87
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Alta Tecnología Alimentaria S.A.	Servicio de Alimentación para BAYOGOC 2.018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Alta Tecnología Alimentaria S.A._Servicio de Alimentación para BAYOGOC 2.018	81999975.9
